Individual statistics:

1 Dragon-2.6-64bit-avx2     : 3532   60 (+ 40,= 19,-  1), 82.5 %

Stockfish_14.1_win_x64_avx2   :   3 (+  0,=  2,-  1), 33.3 %
Arasanx-64-avx2               :   3 (+  2,=  1,-  0), 83.3 %
Xiphos-0.6-w64-bmi2           :   3 (+  3,=  0,-  0), 100.0 %
Berserk-8.5.1-x64-avx2-pext   :   2 (+  1,=  1,-  0), 75.0 %
Booot6_popcnt                 :   3 (+  3,=  0,-  0), 100.0 %
Slow64-avx2                   :   4 (+  1,=  3,-  0), 62.5 %
Nemorino_6.00_win64_avx2      :   3 (+  3,=  0,-  0), 100.0 %
Weiss-pext                    :   3 (+  3,=  0,-  0), 100.0 %
Ethereal-avx2                 :   3 (+  2,=  1,-  0), 83.3 %
FatFritz2                     :   3 (+  3,=  0,-  0), 100.0 %
Fire_8.11_x64_popc            :   4 (+  3,=  1,-  0), 87.5 %
Koivisto_7.0-x64-windows-avx2 :   3 (+  1,=  2,-  0), 66.7 %
Igel-x64_bmi2_avx2_3_0_5      :   3 (+  0,=  3,-  0), 50.0 %
RubiChess-2021_x86-64-bmi2    :   3 (+  2,=  1,-  0), 83.3 %
Houdini 6.03 Pro x64_pext     :   2 (+  2,=  0,-  0), 100.0 %
LeelaCUDNN                    :   3 (+  0,=  3,-  0), 50.0 %
RofChade_bmi2                 :   3 (+  3,=  0,-  0), 100.0 %
Seer_v2.4_x64_avx2_popcnt     :   3 (+  3,=  0,-  0), 100.0 %
Wasp520-windows-avx           :   3 (+  3,=  0,-  0), 100.0 %
Houdini_6.0.2_Pro_x64-pext    :   3 (+  2,=  1,-  0), 83.3 %

2 FatFritz2                 : 3522   87 (+ 62,= 20,-  5), 82.8 %

Stockfish_14.1_win_x64_avx2   :   3 (+  0,=  2,-  1), 33.3 %
Deep Rybka 4 x64              :   1 (+  1,=  0,-  0), 100.0 %
Robboh6SSE4.2                 :   1 (+  1,=  0,-  0), 100.0 %
Lc0                           :   1 (+  1,=  0,-  0), 100.0 %
Critter_1.6_64bit             :   1 (+  1,=  0,-  0), 100.0 %
Arasanx-64-avx2               :   4 (+  3,=  1,-  0), 87.5 %
Xiphos-0.6-w64-bmi2           :   4 (+  4,=  0,-  0), 100.0 %
Vajolet2_2.8_bmi              :   1 (+  1,=  0,-  0), 100.0 %
Berserk-8.5.1-x64-avx2-pext   :   4 (+  3,=  0,-  1), 75.0 %
Booot6_popcnt                 :   4 (+  3,=  1,-  0), 87.5 %
SugaR AI 2.40 64              :   2 (+  1,=  1,-  0), 75.0 %
Slow64-avx2                   :   4 (+  2,=  2,-  0), 75.0 %
Counter-4.0-windows-amd64     :   1 (+  1,=  0,-  0), 100.0 %
Nemorino_6.00_win64_avx2      :   4 (+  3,=  1,-  0), 87.5 %
Dragon-64bit-avx2             :   1 (+  1,=  0,-  0), 100.0 %
ShashChess20.2-x86-64-avx2    :   2 (+  0,=  2,-  0), 50.0 %
Drofa_3.2.0_popcnt            :   1 (+  1,=  0,-  0), 100.0 %
Weiss-pext                    :   4 (+  4,=  0,-  0), 100.0 %
Ethereal-avx2                 :   4 (+  2,=  2,-  0), 75.0 %
Fire_8.11_x64_popc            :   4 (+  3,=  1,-  0), 87.5 %
Koivisto_7.0-x64-windows-avx2 :   4 (+  4,=  0,-  0), 100.0 %
Gull 3 x64 BMI2               :   1 (+  0,=  1,-  0), 50.0 %
Houdini 6.03 Pro x64_popc     :   1 (+  1,=  0,-  0), 100.0 %
Igel-x64_bmi2_avx2_3_0_5      :   3 (+  1,=  2,-  0), 66.7 %
RubiChess-2021_x86-64-bmi2    :   4 (+  4,=  0,-  0), 100.0 %
Dragon-2.6-64bit-avx2         :   3 (+  0,=  0,-  3),  0.0 %
Houdini 6.03 Pro x64_pext     :   3 (+  3,=  0,-  0), 100.0 %
LeelaCUDNN                    :   4 (+  2,=  2,-  0), 75.0 %
RofChade_bmi2                 :   4 (+  4,=  0,-  0), 100.0 %
Seer_v2.4_x64_avx2_popcnt     :   3 (+  2,=  1,-  0), 83.3 %
Wasp520-windows-avx           :   3 (+  3,=  0,-  0), 100.0 %
Houdini_6.0.2_Pro_x64-pext    :   3 (+  2,=  1,-  0), 83.3 %

3 ShashChess20.2-x86-64-avx2: 3509   28 (+ 18,= 10,-  0), 82.1 %

Stockfish_14.1_win_x64_avx2   :   1 (+  0,=  1,-  0), 50.0 %
Deep Rybka 4 x64              :   1 (+  1,=  0,-  0), 100.0 %
Robboh6SSE4.2                 :   1 (+  1,=  0,-  0), 100.0 %
Lc0                           :   1 (+  0,=  1,-  0), 50.0 %
Critter_1.6_64bit             :   1 (+  1,=  0,-  0), 100.0 %
Arasanx-64-avx2               :   1 (+  1,=  0,-  0), 100.0 %
Xiphos-0.6-w64-bmi2           :   2 (+  2,=  0,-  0), 100.0 %
Vajolet2_2.8_bmi              :   1 (+  0,=  1,-  0), 50.0 %
Berserk-8.5.1-x64-avx2-pext   :   1 (+  1,=  0,-  0), 100.0 %
Booot6_popcnt                 :   1 (+  1,=  0,-  0), 100.0 %
SugaR AI 2.40 64              :   1 (+  0,=  1,-  0), 50.0 %
Slow64-avx2                   :   2 (+  2,=  0,-  0), 100.0 %
Counter-4.0-windows-amd64     :   1 (+  1,=  0,-  0), 100.0 %
Nemorino_6.00_win64_avx2      :   1 (+  1,=  0,-  0), 100.0 %
Dragon-64bit-avx2             :   1 (+  0,=  1,-  0), 50.0 %
Drofa_3.2.0_popcnt            :   1 (+  1,=  0,-  0), 100.0 %
Weiss-pext                    :   1 (+  1,=  0,-  0), 100.0 %
Ethereal-avx2                 :   1 (+  0,=  1,-  0), 50.0 %
FatFritz2                     :   2 (+  0,=  2,-  0), 50.0 %
Fire_8.11_x64_popc            :   1 (+  1,=  0,-  0), 100.0 %
Koivisto_7.0-x64-windows-avx2 :   2 (+  0,=  2,-  0), 50.0 %
Gull 3 x64 BMI2               :   1 (+  1,=  0,-  0), 100.0 %
Houdini 6.03 Pro x64_popc     :   1 (+  1,=  0,-  0), 100.0 %
RubiChess-2021_x86-64-bmi2    :   1 (+  1,=  0,-  0), 100.0 %

4 Stockfish_14.1_win_x64_avx2: 3491  119 (+ 93,= 25,-  1), 88.7 %

AnMon 5.75                    :   1 (+  1,=  0,-  0), 100.0 %
Zappa_mexico_x64              :   1 (+  1,=  0,-  0), 100.0 %
WildCat_8                     :   1 (+  1,=  0,-  0), 100.0 %
Bison911                      :   1 (+  1,=  0,-  0), 100.0 %
Booot415                      :   1 (+  1,=  0,-  0), 100.0 %
TogaLegend1.4beta5c_2cpu      :   1 (+  1,=  0,-  0), 100.0 %
Toga313SE_MP-dual_quad        :   1 (+  1,=  0,-  0), 100.0 %
Bright-0.5c-frc               :   1 (+  1,=  0,-  0), 100.0 %
Chiron                        :   1 (+  1,=  0,-  0), 100.0 %
Stockfish-18-64-ja            :   1 (+  1,=  0,-  0), 100.0 %
Chronos                       :   1 (+  1,=  0,-  0), 100.0 %
Colossus2008b                 :   1 (+  1,=  0,-  0), 100.0 %
Spike 1.4                     :   1 (+  1,=  0,-  0), 100.0 %
Spark-0.4-win64-mp            :   1 (+  1,=  0,-  0), 100.0 %
